0,0,0,0,0,0,0,0,0,0,-0.779,-0.779,0,0.040892,0.58,0.58,0,0,-0.779,-0.779,-0.79,-0.77863,0,-0.653,-0.653,0,0,0,-0.79,0,0,0,0,-0.184,0,0,0,0.765,0.765,-0.653,0,0,brain
0,0,0,0,0,0,0,0,0,0,-0.802,-0.802,0,0,0.603,0.603,0,0,0,0,0,-0.79661,0,0,0,0,0,0,0,0,0,0,0,0,0.725,0.725,0,0.749,0.749,0,0,0,brain
0,0,0,0,0,0,-0.691,0,0,0,-0.685,-0.685,0,-0.027535,-0.633,-0.633,0,0,0,0,0,-0.68524,0,0,0,-0.661,0,0,0,0,0,0,0,0,0.717,0.717,-0.672,0.647,0.647,-0.667,0,0,brain
0,0,0,0,0,0,-0.831,0,0,0,-0.846,-0.846,0,-0.83978,0,0,0,0,0,0,0,-0.84595,-0.832,0,0,0,0,0,0,0,0,0,0,-0.11,0.759,0.759,0,0.788,0.788,0,0,0,brain
0.176,-0.365,-0.365,0.119,0.119,0.142,-0.985,-0.216,-0.216,0.178,-1.024,-1.024,0.176,-0.51208,-0.109,-0.109,-0.212,-0.337,0.101,0.101,-0.229,-1.0099,0.178,0.162,0.162,-1.037,0,0,-0.229,0,0,0,0,-0.165,0.157,0.157,0.157,1.12,1.12,-0.973,-0.477,-0.477,brain
0,0,0,-0.862,0,0,0,0.643,0.407,0.441,0.354,0,0,-0.9083,-0.121,-0.121,0,0,0.87,0.87,0.766,0.070274,0.042,-0.151,-0.151,0.579,1.233,0,0,0,0,0,0,-0.685,0.344,0.344,0.476,0,0,0,0,-0.861,brain
0,0,0,0,0,0,0,0,0,0,-0.921,-0.921,0,-0.0047079,0.762,0.762,0,0,0,0,0,-1.2929,0,0,0,0,0,0,0,0,0,0,0,0.148,0.814,0.814,0,0.919,0.919,0,0,0,brain
0,-0.652,-0.652,0,0,0,-0.756,0,0,0,-0.815,-0.815,0,0.015264,0,0,0,0,0,0,0,-0.81477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623,0.623,0,0,0,brain
0,0,0,0,0,0,0,0,0,0,-0.828,-0.828,0,-0.0024938,0.661,0.661,0,0,0,0,0,-0.82549,-0.795,0,0,-0.835,0,0,0,0,0,0,0,0,0.778,0.778,0,0,0,0,0,0,brain
0,0,0,0,0,0,0,0,0,0,-0.545,-0.545,0,-0.01037,0,0,0,0,0,0,0,-0.54509,-0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brain
